input_time|conversation_id|count|intent|user_input| entity_name|entity_value|action|bot_reply|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|U0|greet|/greet|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B0|||||utter_greet|Hey! Welcome to the website of University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student living, school services, etc. How can I help you?,
2022-11-09 12:03:36.218595|1e53173c47b948819841b1d38d24a50f|B15|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-09 12:03:36.218651|1e53173c47b948819841b1d38d24a50f|U13|goodbye|bye|,,,,,,
2022-11-09 12:03:36.218725|1e53173c47b948819841b1d38d24a50f|B16|||||utter_ask_ratings|Could you give us some feedbacks regarding your experience? There will be 5 questions. ,,,,,,
2022-11-09 12:03:36.218782|1e53173c47b948819841b1d38d24a50f|U14|affirm|Yes|,,,,,,
2022-11-09 12:03:36.218857|1e53173c47b948819841b1d38d24a50f|B17|||||utter_answers_satisfaction|Are you satisfied with the answers to your questions?,,,,,,
2022-11-09 12:03:36.218914|1e53173c47b948819841b1d38d24a50f|U15|satisfy_rating|satisfy_4|,,,,,,
2022-11-09 12:03:36.218988|1e53173c47b948819841b1d38d24a50f|B18|||||utter_interaction|Are you satisfied with how the chatbot interacted with you?,,,,,,
2022-11-09 12:03:36.219043|1e53173c47b948819841b1d38d24a50f|U16|interaction_rating|interaction_3|,,,,,,
2022-11-09 12:03:36.219118|1e53173c47b948819841b1d38d24a50f|B19|||||utter_preference|To what extent will you prefer the chatbot over Google search for the answers?,,,,,,
2022-11-09 12:03:36.219175|1e53173c47b948819841b1d38d24a50f|U17|preference_rating|preference_3|,,,,,,
2022-11-09 12:03:36.219249|1e53173c47b948819841b1d38d24a50f|B20|||||utter_future_use|Will you choose the chatbot to find UofSC info for the future use?,,,,,,
2022-11-09 12:03:36.219305|1e53173c47b948819841b1d38d24a50f|U18|future_use_rating|future_use_5|,,,,,,
2022-11-09 12:03:36.219379|1e53173c47b948819841b1d38d24a50f|B21|||||utter_overall_rating|What’s your overall satisfaction of using the chatbot to find the school information?,,,,,,
2022-11-09 12:03:36.219454|1e53173c47b948819841b1d38d24a50f|U19|overall_rating|overall_3|,,,,,,
2022-11-09 12:03:36.219531|1e53173c47b948819841b1d38d24a50f|B22|||||utter_prefinish_1|Thanks, that's all for the feedbacks. The last part is regarding your demographic information.,,,,,
2022-11-09 12:03:36.219589|1e53173c47b948819841b1d38d24a50f|B23|||||utter_current_student|Are you currently a student studying less than 2 years at UofSC?,,,,,,
2022-11-09 12:03:36.219646|1e53173c47b948819841b1d38d24a50f|U20|answer_current_student|answer_current_student_1|,,,,,,
2022-11-09 12:03:36.219721|1e53173c47b948819841b1d38d24a50f|B24|||||utter_gender|What's your gender?,,,,,,
2022-11-09 12:03:36.219777|1e53173c47b948819841b1d38d24a50f|U21|answer_gender|gender_2|,,,,,,
2022-11-09 12:03:36.219851|1e53173c47b948819841b1d38d24a50f|B25|||||utter_age|What's your age?,,,,,,
2022-11-09 12:03:36.219907|1e53173c47b948819841b1d38d24a50f|U22|answer_age|age_2|,,,,,,
2022-11-09 12:03:36.219981|1e53173c47b948819841b1d38d24a50f|B26|||||utter_marriage|Are you married?,,,,,,
2022-11-09 12:03:36.220037|1e53173c47b948819841b1d38d24a50f|U23|answer_marriage|marriage_2|,,,,,,
2022-11-09 12:03:36.220110|1e53173c47b948819841b1d38d24a50f|B27|||||utter_education|What is your current completed education level?,,,,,,
2022-11-09 12:03:36.220167|1e53173c47b948819841b1d38d24a50f|U24|answer_education|education_2|,,,,,,
2022-11-09 12:03:36.220241|1e53173c47b948819841b1d38d24a50f|B28|||||utter_prefinish_2|Thanks for your participation and feedbacks. This is all about the experiment.,,,,,,
 ,,,,,,
 【Conversation ended】,,,,,,
2022-11-09 12:43:03.929565|2515b559a9374dcd816674a558984d8c|U0|greet|/greet|,,,,,,
2022-11-09 12:43:03.929607|2515b559a9374dcd816674a558984d8c|B0|||||utter_greet|Hey! Welcome to the website of University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student housing, dining on campus, etc. How can I help you?,
2022-11-09 12:43:03.929636|2515b559a9374dcd816674a558984d8c|U1|access_application|How to apply?|,,,,,,
2022-11-09 12:43:03.929671|2515b559a9374dcd816674a558984d8c|B1|||||utter_access_application|Please refer to the webpage: https://sc.edu/apply/index.php ,,,,,,
2022-11-09 12:43:03.929697|2515b559a9374dcd816674a558984d8c|B2|||||utter_did_that_help|Did you get the answer,,,,,,
2022-11-09 12:43:03.929722|2515b559a9374dcd816674a558984d8c|U2|helpfulness_rating|helpfulness_1|,,,,,,
2022-11-09 12:43:03.929755|2515b559a9374dcd816674a558984d8c|B3|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-09 12:43:03.929780|2515b559a9374dcd816674a558984d8c|U3|application_fee|How much is the application fee?|,,,,,,
2022-11-09 12:43:03.929814|2515b559a9374dcd816674a558984d8c|B4|||||utter_application_fee|The application fee for undergradute is $65 (Common Application Fee without waiver);for general graduate program is $50. Other applications may cost more.,,,,,,
2022-11-09 12:43:03.929839|2515b559a9374dcd816674a558984d8c|B5|||||utter_did_that_help|Did you get the answer,,,,,,
2022-11-09 12:43:03.929864|2515b559a9374dcd816674a558984d8c|U4|helpfulness_rating|helpfulness_1|,,,,,,
2022-11-09 12:43:03.929897|2515b559a9374dcd816674a558984d8c|B6|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-09 12:43:03.929921|2515b559a9374dcd816674a558984d8c|U5|application_status|How can I know the application status|,,,,,,
2022-11-09 12:43:03.929953|2515b559a9374dcd816674a558984d8c|B7|||||utter_application_status|You need to go to check the application portal or contact to the admission office. The application portal: https://applyweb.collegenet.com/account/new/create?origin=https://www.applyweb.com/cgi-bin/applymenu?instcode=uscgrad or https://apply.sc.edu/register/freshman ,,,,,,
2022-11-09 12:43:03.929984|2515b559a9374dcd816674a558984d8c|B8|||||utter_did_that_help|Did you get the answer,,,,,,
2022-11-09 12:43:03.930008|2515b559a9374dcd816674a558984d8c|U6|helpfulness_rating|helpfulness_1|,,,,,,
2022-11-09 12:43:03.930041|2515b559a9374dcd816674a558984d8c|B9|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-09 12:43:03.930065|2515b559a9374dcd816674a558984d8c|U7|find_place|How to find a place to stay?|,,,,,,
2022-11-09 12:43:03.930097|2515b559a9374dcd816674a558984d8c|B10|||||utter_find_place|The campus housing is mainly for freshmen students. Most of univeristy's students and visitors use off-campus housing. Many find www.zillow.com useful for finding an appartment or a room.,,,,,,
2022-11-09 12:43:03.930122|2515b559a9374dcd816674a558984d8c|B11|||||utter_did_that_help|Did you get the answer,,,,,,
2022-11-09 12:43:03.930147|2515b559a9374dcd816674a558984d8c|U8|helpfulness_rating|helpfulness_1|,,,,,,
2022-11-09 12:43:03.930179|2515b559a9374dcd816674a558984d8c|B12|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-09 12:43:03.930202|2515b559a9374dcd816674a558984d8c|U9|housing|How's about the student living?|,,,,,,
2022-11-09 12:43:03.930235|2515b559a9374dcd816674a558984d8c|B13|||||utter_housing|For the on-campus housing, please contact the help center for the customer service: https://sc.edu/about/offices_and_divisions/housing/help_center/index.php /n/ For the off-campus housing, you should cantact your apartment leasing office. The school also provide consulting and legal service support for the off-campus living issues:  https://sc.edu/about/offices_and_divisions/off_campus_living_and_neighborhood_relations/find-housing/index.php,,,,
2022-11-09 12:43:03.930264|2515b559a9374dcd816674a558984d8c|B14|||||utter_did_that_help|Did you get the answer,,,,,,
2022-11-09 12:43:03.930288|2515b559a9374dcd816674a558984d8c|U10|helpfulness_rating|helpfulness_1|,,,,,,
2022-11-09 12:43:03.930320|2515b559a9374dcd816674a558984d8c|B15|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-09 12:43:03.930344|2515b559a9374dcd816674a558984d8c|U11|lunch|Where to have lunch on campus?|,,,,,,
2022-11-09 12:43:03.930377|2515b559a9374dcd816674a558984d8c|B16|||||utter_lunch|There's a number of lunch places within and around the campus. Please see the lunch places here https://sc.edu/experience/grab_a_bite/campus_restaurants_list.php ,,,,,,
2022-11-09 12:43:03.930402|2515b559a9374dcd816674a558984d8c|B17|||||utter_did_that_help|Did you get the answer,,,,,,
2022-11-09 12:43:03.930426|2515b559a9374dcd816674a558984d8c|U12|helpfulness_rating|helpfulness_1|,,,,,,
2022-11-09 12:43:03.930458|2515b559a9374dcd816674a558984d8c|B18|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-09 12:43:03.930482|2515b559a9374dcd816674a558984d8c|U13|meal_plan|How's about the meal plan?|,,,,,,
2022-11-09 12:43:03.930515|2515b559a9374dcd816674a558984d8c|B19|||||utter_meal_plan|The are different kinds of meal plans for students and faculties. More about the meal plan, please refer to the webpage: ,,,,,
https://sc.edu/about/offices_and_divisions/dining_services/meal_plans/index.php,,,,,,
2022-11-09 12:43:03.930544|2515b559a9374dcd816674a558984d8c|B20|||||utter_did_that_help|Did you get the answer,,,,,,
2022-11-09 12:43:03.930568|2515b559a9374dcd816674a558984d8c|U14|helpfulness_rating|helpfulness_1|,,,,,,
2022-11-09 12:43:03.930604|2515b559a9374dcd816674a558984d8c|B21|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-09 12:43:03.930628|2515b559a9374dcd816674a558984d8c|U15|goodbye|Bye|,,,,,,
2022-11-09 12:43:03.930661|2515b559a9374dcd816674a558984d8c|B22|||||utter_ask_ratings|Could you give us some feedbacks regarding your experience? There will be 5 questions. ,,,,,,
2022-11-09 12:43:03.930687|2515b559a9374dcd816674a558984d8c|U16|affirm|Yes|,,,,,,
2022-11-09 12:43:03.930720|2515b559a9374dcd816674a558984d8c|B23|||||utter_answers_satisfaction|Are you satisfied with the answers to your questions?,,,,,,
2022-11-09 12:43:03.930745|2515b559a9374dcd816674a558984d8c|U17|satisfy_rating|satisfy_5|,,,,,,
2022-11-09 12:43:03.930777|2515b559a9374dcd816674a558984d8c|B24|||||utter_interaction|Are you satisfied with how the chatbot interacted with you?,,,,,,
2022-11-09 12:43:03.930802|2515b559a9374dcd816674a558984d8c|U18|interaction_rating|interaction_5|,,,,,,
2022-11-09 12:43:03.930835|2515b559a9374dcd816674a558984d8c|B25|||||utter_preference|To what extent will you prefer the chatbot over Google search for the answers?,,,,,,
2022-11-09 12:43:03.930860|2515b559a9374dcd816674a558984d8c|U19|preference_rating|preference_5|,,,,,,
2022-11-09 12:43:03.930892|2515b559a9374dcd816674a558984d8c|B26|||||utter_future_use|Will you choose the chatbot to find UofSC info for the future use?,,,,,,
2022-11-09 12:43:03.930917|2515b559a9374dcd816674a558984d8c|U20|future_use_rating|future_use_4|,,,,,,
2022-11-09 12:43:03.930950|2515b559a9374dcd816674a558984d8c|B27|||||utter_overall_rating|What’s your overall satisfaction of using the chatbot to find the school information?,,,,,,
2022-11-09 12:43:03.930983|2515b559a9374dcd816674a558984d8c|U21|overall_rating|overall_4|,,,,,,
2022-11-09 12:43:03.931016|2515b559a9374dcd816674a558984d8c|B28|||||utter_prefinish_1|Thanks, that's all for the feedbacks. The last part is regarding your demographic information.,,,,,
2022-11-09 12:43:03.931041|2515b559a9374dcd816674a558984d8c|B29|||||utter_current_student|Are you currently a student studying less than 2 years at UofSC?,,,,,,
2022-11-09 12:43:03.931066|2515b559a9374dcd816674a558984d8c|U22|answer_current_student|answer_current_student_2|,,,,,,
2022-11-09 12:43:03.931099|2515b559a9374dcd816674a558984d8c|B30|||||utter_gender|What's your gender?,,,,,,
2022-11-09 12:43:03.931123|2515b559a9374dcd816674a558984d8c|U23|answer_gender|gender_2|,,,,,,
2022-11-09 12:43:03.931156|2515b559a9374dcd816674a558984d8c|B31|||||utter_age|What's your age?,,,,,,
2022-11-09 12:43:03.931180|2515b559a9374dcd816674a558984d8c|U24|answer_age|age_2|,,,,,,
2022-11-09 12:43:03.931213|2515b559a9374dcd816674a558984d8c|B32|||||utter_marriage|Are you married?,,,,,,
2022-11-09 12:43:03.931237|2515b559a9374dcd816674a558984d8c|U25|answer_marriage|marriage_2|,,,,,,
2022-11-09 12:43:03.931270|2515b559a9374dcd816674a558984d8c|B33|||||utter_education|What is your current completed education level?,,,,,,
2022-11-09 12:43:03.931295|2515b559a9374dcd816674a558984d8c|U26|answer_education|education_3|,,,,,,
2022-11-09 12:43:03.931328|2515b559a9374dcd816674a558984d8c|B34|||||utter_prefinish_2|Thanks for your participation and feedbacks. This is all about the experiment.,,,,,,
 ,,,,,,
 【Conversation ended】,,,,,,
2022-11-09 14:00:52.521611|ff872960ced94edd9530ea45381498af|U0|greet|/greet|,,,,,,
2022-11-09 14:00:52.521702|ff872960ced94edd9530ea45381498af|B0|||||utter_greet|Hey! Welcome to the website of University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student housing, dining on campus, etc. How can I help you?,
2022-11-09 14:00:52.521767|ff872960ced94edd9530ea45381498af|U1|access_application|How to apply?|,,,,,,
2022-11-09 14:00:52.521847|ff872960ced94edd9530ea45381498af|B1|||||utter_access_application|Please refer to the webpage: https://sc.edu/apply/index.php ,,,,,,
2022-11-09 14:00:52.521907|ff872960ced94edd9530ea45381498af|B2|||||utter_did_that_help|Did you get the answer？,,,,,,
2022-11-09 14:00:52.521973|ff872960ced94edd9530ea45381498af|U2|helpfulness_rating|helpfulness_1|,,,,,,
2022-11-09 14:00:52.522051|ff872960ced94edd9530ea45381498af|B3|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-09 14:00:52.522108|ff872960ced94edd9530ea45381498af|U3|housing|How's about the student living?|,,,,,,
2022-11-09 14:00:52.522185|ff872960ced94edd9530ea45381498af|B4|||||utter_housing|For the on-campus housing, please contact the help center for the customer service: https://sc.edu/about/offices_and_divisions/housing/help_center/index.php /n/ For the off-campus housing, you should cantact your apartment leasing office. The school also provide consulting and legal service support for the off-campus living issues:  https://sc.edu/about/offices_and_divisions/off_campus_living_and_neighborhood_relations/find-housing/index.php,,,,
2022-11-09 14:00:52.522254|ff872960ced94edd9530ea45381498af|B5|||||utter_did_that_help|Did you get the answer？,,,,,,
2022-11-09 14:00:52.522314|ff872960ced94edd9530ea45381498af|U4|helpfulness_rating|helpfulness_1|,,,,,,
2022-11-09 14:00:52.522390|ff872960ced94edd9530ea45381498af|B6|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-09 14:00:52.522447|ff872960ced94edd9530ea45381498af|U5|lunch|Where to have lunch on campus?|,,,,,,
2022-11-09 14:00:52.522524|ff872960ced94edd9530ea45381498af|B7|||||utter_lunch|There's a number of lunch places within and around the campus. Please see the lunch places here https://sc.edu/experience/grab_a_bite/campus_restaurants_list.php ,,,,,,
2022-11-09 14:00:52.522583|ff872960ced94edd9530ea45381498af|B8|||||utter_did_that_help|Did you get the answer？,,,,,,
2022-11-09 14:00:52.522642|ff872960ced94edd9530ea45381498af|U6|helpfulness_rating|helpfulness_1|,,,,,,
2022-11-09 14:00:52.522717|ff872960ced94edd9530ea45381498af|B9|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-09 14:00:52.522773|ff872960ced94edd9530ea45381498af|U7|meal_plan|How's about the meal plan?|,,,,,,
2022-11-09 14:00:52.522848|ff872960ced94edd9530ea45381498af|B10|||||utter_meal_plan|The are different kinds of meal plans for students and faculties. More about the meal plan, please refer to the webpage: ,,,,,
https://sc.edu/about/offices_and_divisions/dining_services/meal_plans/index.php,,,,,,
2022-11-09 14:00:52.522916|ff872960ced94edd9530ea45381498af|B11|||||utter_did_that_help|Did you get the answer？,,,,,,
2022-11-09 14:00:52.522976|ff872960ced94edd9530ea45381498af|U8|helpfulness_rating|helpfulness_1|,,,,,,
2022-11-09 14:00:52.523051|ff872960ced94edd9530ea45381498af|B12|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-09 14:00:52.523108|ff872960ced94edd9530ea45381498af|U9|goodbye|Bye|,,,,,,
2022-11-09 14:00:52.523183|ff872960ced94edd9530ea45381498af|B13|||||utter_ask_ratings|Could you give us some feedbacks regarding your experience? There will be 5 questions. ,,,,,,
2022-11-09 14:00:52.523241|ff872960ced94edd9530ea45381498af|U10|affirm|Yes|,,,,,,
2022-11-09 14:00:52.523317|ff872960ced94edd9530ea45381498af|B14|||||utter_answers_satisfaction|Are you satisfied with the answers to your questions?,,,,,,
2022-11-09 14:00:52.523374|ff872960ced94edd9530ea45381498af|U11|satisfy_rating|satisfy_3|,,,,,,
2022-11-09 14:00:52.523450|ff872960ced94edd9530ea45381498af|B15|||||utter_interaction|Are you satisfied with how the chatbot interacted with you?,,,,,,
2022-11-09 14:00:52.523507|ff872960ced94edd9530ea45381498af|U12|interaction_rating|interaction_2|,,,,,,
2022-11-09 14:00:52.523583|ff872960ced94edd9530ea45381498af|B16|||||utter_preference|To what extent will you prefer the chatbot over Google search for the answers?,,,,,,
2022-11-09 14:00:52.523640|ff872960ced94edd9530ea45381498af|U13|preference_rating|preference_5|,,,,,,
2022-11-09 14:00:52.523728|ff872960ced94edd9530ea45381498af|B17|||||utter_future_use|Will you choose the chatbot to find UofSC info for the future use?,,,,,,
2022-11-09 14:00:52.523784|ff872960ced94edd9530ea45381498af|U14|future_use_rating|future_use_3|,,,,,,
2022-11-09 14:00:52.523859|ff872960ced94edd9530ea45381498af|B18|||||utter_overall_rating|What’s your overall satisfaction of using the chatbot to find the school information?,,,,,,
2022-11-09 14:00:52.523921|ff872960ced94edd9530ea45381498af|U15|overall_rating|overall_3|,,,,,,
2022-11-09 14:00:52.523997|ff872960ced94edd9530ea45381498af|B19|||||utter_prefinish_1|Thanks, that's all for the feedbacks. The last part is regarding your demographic information.,,,,,
2022-11-09 14:00:52.524054|ff872960ced94edd9530ea45381498af|B20|||||utter_current_student|Are you currently a student studying less than 2 years at UofSC?,,,,,,
2022-11-09 14:00:52.524111|ff872960ced94edd9530ea45381498af|U16|answer_current_student|answer_current_student_2|,,,,,,
2022-11-09 14:00:52.524186|ff872960ced94edd9530ea45381498af|B21|||||utter_gender|What's your gender?,,,,,,
2022-11-09 14:00:52.524242|ff872960ced94edd9530ea45381498af|U17|answer_gender|gender_2|,,,,,,
2022-11-09 14:00:52.524317|ff872960ced94edd9530ea45381498af|B22|||||utter_age|What's your age?,,,,,,
2022-11-09 14:00:52.524372|ff872960ced94edd9530ea45381498af|U18|answer_age|age_2|,,,,,,
2022-11-09 14:00:52.524448|ff872960ced94edd9530ea45381498af|B23|||||utter_marriage|Are you married?,,,,,,
2022-11-09 14:00:52.524504|ff872960ced94edd9530ea45381498af|U19|answer_marriage|marriage_2|,,,,,,
2022-11-09 14:00:52.524580|ff872960ced94edd9530ea45381498af|B24|||||utter_education|What is your current completed education level?,,,,,,
2022-11-09 14:00:52.524637|ff872960ced94edd9530ea45381498af|U20|answer_education|education_3|,,,,,,
2022-11-09 14:00:52.524712|ff872960ced94edd9530ea45381498af|B25|||||utter_prefinish_2|Thanks for your participation and feedbacks. This is all about the experiment.,,,,,,
 ,,,,,,
 【Conversation ended】,,,,,,
2022-11-09 14:01:18.233550|1de6ddc4600b486da6e43c63b9188b0f|U0|greet|/greet|,,,,,,
2022-11-09 14:01:18.233637|1de6ddc4600b486da6e43c63b9188b0f|B0|||||utter_greet|Hey! Welcome to the website of University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student housing, dining on campus, etc. How can I help you?,
2022-11-09 14:01:18.233700|1de6ddc4600b486da6e43c63b9188b0f|U1|goodbye|bye|,,,,,,
2022-11-09 14:01:18.233776|1de6ddc4600b486da6e43c63b9188b0f|B1|||||utter_ask_ratings|Could you give us some feedbacks regarding your experience? There will be 5 questions. ,,,,,,
2022-11-09 14:01:18.233834|1de6ddc4600b486da6e43c63b9188b0f|U2|deny|No|,,,,,,
2022-11-09 14:01:18.233910|1de6ddc4600b486da6e43c63b9188b0f|B2|||||utter_ask_short_feedback|Please just give us an overall feedback. What’s your overall satisfaction of using the chatbot to find the school information?,,,,,,
2022-11-09 14:01:18.233976|1de6ddc4600b486da6e43c63b9188b0f|U3|short_feedback_rating|short_3|,,,,,,
2022-11-09 14:01:18.234053|1de6ddc4600b486da6e43c63b9188b0f|B3|||||utter_prefinish_2|Thanks for your participation and feedbacks. This is all about the experiment.,,,,,,
 ,,,,,,
 【Conversation ended】,,,,,,
2022-11-10 12:44:22.022237|a29aca9b99d943088b4425d8c790f04d|U0|greet|/greet|,,,,,,
2022-11-10 12:44:22.022329|a29aca9b99d943088b4425d8c790f04d|B0|||||utter_greet|Hey! Welcome to the website of University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student housing, dining on campus, etc. How can I help you?,
2022-11-10 12:44:22.022397|a29aca9b99d943088b4425d8c790f04d|U1|nlu_fallback|what is the cheapest housing on campus?|,,,,,,
2022-11-10 12:44:22.022477|a29aca9b99d943088b4425d8c790f04d|B1|||||utter_please_rephrase|I'm sorry, I didn't quite understand that. Could you rephrase or ask another question? ,,,,,
2022-11-10 12:44:22.022537|a29aca9b99d943088b4425d8c790f04d|U2|meal_plan|How many restaurants are part of the meal plan?|,,,,,,
2022-11-10 12:44:22.022615|a29aca9b99d943088b4425d8c790f04d|B2|||||utter_meal_plan|The are different kinds of meal plans for students and faculties. More about the meal plan, please refer to the webpage: ,,,,,
https://sc.edu/about/offices_and_divisions/dining_services/meal_plans/index.php,,,,,,
2022-11-10 12:44:22.022681|a29aca9b99d943088b4425d8c790f04d|B3|||||utter_did_that_help|Did you get the answer？,,,,,,
2022-11-10 12:44:22.022747|a29aca9b99d943088b4425d8c790f04d|U3|helpfulness_rating|helpfulness_1|,,,,,,
2022-11-10 12:44:22.022826|a29aca9b99d943088b4425d8c790f04d|B4|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-10 12:44:22.022883|a29aca9b99d943088b4425d8c790f04d|U4|greet|hello|,,,,,,
2022-11-10 12:44:22.022959|a29aca9b99d943088b4425d8c790f04d|B5|||||utter_greet|Hey! Welcome to the website of University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student housing, dining on campus, etc. How can I help you?,
2022-11-10 12:44:22.023017|a29aca9b99d943088b4425d8c790f04d|U5|nlu_fallback|when is the application deadline|,,,,,,
2022-11-10 12:44:22.023093|a29aca9b99d943088b4425d8c790f04d|B6|||||utter_please_rephrase|I'm sorry, I didn't quite understand that. Could you rephrase or ask another question? ,,,,,
2022-11-10 12:44:22.023149|a29aca9b99d943088b4425d8c790f04d|U6|application_status|when does application start|,,,,,,
2022-11-10 12:44:22.023228|a29aca9b99d943088b4425d8c790f04d|B7|||||utter_application_status|You need to go to check the application portal or contact to the admission office. The application portal: https://applyweb.collegenet.com/account/new/create?origin=https://www.applyweb.com/cgi-bin/applymenu?instcode=uscgrad or https://apply.sc.edu/register/freshman ,,,,,,
2022-11-10 12:44:22.023290|a29aca9b99d943088b4425d8c790f04d|B8|||||utter_did_that_help|Did you get the answer？,,,,,,
2022-11-10 12:44:22.023350|a29aca9b99d943088b4425d8c790f04d|U7|helpfulness_rating|helpfulness_2|,,,,,,
2022-11-10 12:44:22.023426|a29aca9b99d943088b4425d8c790f04d|B9|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-10 12:44:22.023484|a29aca9b99d943088b4425d8c790f04d|U8|available_jobs|is there sushi on campus?|,,,,,,
2022-11-10 12:44:22.023559|a29aca9b99d943088b4425d8c790f04d|B10|||||utter_available_jobs|There's a wide range of employment opportunities on campus designed to develop your essential, marketable skills. Please refer to the webpage:  https://sc.edu/about/employment/student-employment/index.php  ,,,,,
 ,,,,,,
 Also, there are lots of graduate assistant postions for graduate students: https://sc.edu/study/colleges_schools/graduate_school/paying_for_graduate_school/assistantships/index.php ,,,,,
2022-11-10 12:44:22.023632|a29aca9b99d943088b4425d8c790f04d|B11|||||utter_did_that_help|Did you get the answer？,,,,,,
2022-11-10 12:44:22.023691|a29aca9b99d943088b4425d8c790f04d|U9|helpfulness_rating|helpfulness_2|,,,,,,
2022-11-10 12:44:22.023766|a29aca9b99d943088b4425d8c790f04d|B12|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-10 12:44:22.023821|a29aca9b99d943088b4425d8c790f04d|U10|housing_price|how much does student living cost|,,,,,,
2022-11-10 12:44:22.023898|a29aca9b99d943088b4425d8c790f04d|B13|||||utter_housing_price|The resident on-campus housing price varies from $3100 to $6600 per semester. For more details, please refer to the webpage: https://sc.edu/about/offices_and_divisions/housing/index.php; The off-campus apartment price in Columbia ranges from 500-1500 USD. A room can be found at 350-600 USD. Columbia offers a range of traditional, family-friendly housing options and apartments. You can widen your search on websites such as ApartmentFinder.com, ApartmentList.com, Zillow.com, Trulia.com, and Homes.com.
2022-11-10 12:44:22.023967|a29aca9b99d943088b4425d8c790f04d|B14|||||utter_did_that_help|Did you get the answer？,,,,,,
2022-11-10 12:44:22.024026|a29aca9b99d943088b4425d8c790f04d|U11|helpfulness_rating|helpfulness_1|,,,,,,
2022-11-10 12:44:22.024100|a29aca9b99d943088b4425d8c790f04d|B15|||||utter_carry_on|Thanks, carry on!,,,,,
2022-11-10 12:44:22.024156|a29aca9b99d943088b4425d8c790f04d|U12|goodbye|bye|,,,,,,
2022-11-10 12:44:22.024233|a29aca9b99d943088b4425d8c790f04d|B16|||||utter_ask_ratings|Could you give us some feedbacks regarding your experience? There will be 5 questions. ,,,,,,
2022-11-10 12:44:22.024289|a29aca9b99d943088b4425d8c790f04d|U13|affirm|Yes|,,,,,,
2022-11-10 12:44:22.024363|a29aca9b99d943088b4425d8c790f04d|B17|||||utter_answers_satisfaction|Are you satisfied with the answers to your questions?,,,,,,
2022-11-10 12:44:22.024420|a29aca9b99d943088b4425d8c790f04d|U14|satisfy_rating|satisfy_2|,,,,,,
2022-11-10 12:44:22.024497|a29aca9b99d943088b4425d8c790f04d|B18|||||utter_interaction|Are you satisfied with how the chatbot interacted with you?,,,,,,
2022-11-10 12:44:22.024554|a29aca9b99d943088b4425d8c790f04d|U15|interaction_rating|interaction_1|,,,,,,
2022-11-10 12:44:22.024630|a29aca9b99d943088b4425d8c790f04d|B19|||||utter_preference|To what extent will you prefer the chatbot over Google search for the answers?,,,,,,
2022-11-10 12:44:22.024686|a29aca9b99d943088b4425d8c790f04d|U16|preference_rating|preference_1|,,,,,,
2022-11-10 12:44:22.024763|a29aca9b99d943088b4425d8c790f04d|B20|||||utter_future_use|Will you choose the chatbot to find UofSC info for the future use?,,,,,,
2022-11-10 12:44:22.024820|a29aca9b99d943088b4425d8c790f04d|U17|future_use_rating|future_use_1|,,,,,,
2022-11-10 12:44:22.024896|a29aca9b99d943088b4425d8c790f04d|B21|||||utter_overall_rating|What’s your overall satisfaction of using the chatbot to find the school information?,,,,,,
2022-11-10 12:44:22.024957|a29aca9b99d943088b4425d8c790f04d|U18|overall_rating|overall_2|,,,,,,
2022-11-10 12:44:22.025034|a29aca9b99d943088b4425d8c790f04d|B22|||||utter_prefinish_1|Thanks, that's all for the feedbacks. The last part is regarding your demographic information.,,,,,
2022-11-10 12:44:22.025092|a29aca9b99d943088b4425d8c790f04d|B23|||||utter_current_student|Are you currently a student studying less than 2 years at UofSC?,,,,,,
2022-11-10 12:44:22.025149|a29aca9b99d943088b4425d8c790f04d|U19|answer_current_student|answer_current_student_2|,,,,,,
2022-11-10 12:44:22.025225|a29aca9b99d943088b4425d8c790f04d|B24|||||utter_gender|What's your gender?,,,,,,
2022-11-10 12:44:22.025280|a29aca9b99d943088b4425d8c790f04d|U20|answer_gender|gender_2|,,,,,,
